epoch,accuracy,loss,val_accuracy,val_loss
0,0.5246608257293701,1.2080342769622803,0.5457074642181396,1.1477882862091064
1,0.5473264455795288,1.0763007402420044,0.5413354635238647,1.0909396409988403
2,0.5578611493110657,1.0423319339752197,0.546502411365509,1.0930558443069458
3,0.5833998322486877,0.9782235026359558,0.5472972989082336,1.0913804769515991
4,0.6373503804206848,0.8672568798065186,0.546502411365509,1.1523383855819702
5,0.6986432671546936,0.7236632108688354,0.5059618353843689,1.1733202934265137
6,0.7704708576202393,0.5622373819351196,0.5349761247634888,1.2713984251022339
7,0.8223463892936707,0.4445655941963196,0.5170906186103821,1.403456687927246
8,0.8609736561775208,0.35624992847442627,0.523052453994751,1.4399878978729248
9,0.8826815485954285,0.30723097920417786,0.5282194018363953,1.5950696468353271
10,0.8994413614273071,0.26451778411865234,0.5131160616874695,1.6179306507110596
11,0.904070258140564,0.2490881234407425,0.5226550102233887,1.621397614479065
12,0.909018337726593,0.22112856805324554,0.5143084526062012,1.6894692182540894
13,0.9114125967025757,0.21010148525238037,0.5282194018363953,1.81197190284729
14,0.917158842086792,0.18784646689891815,0.5083465576171875,1.778053641319275
15,0.9219473004341125,0.17687442898750305,0.5103338360786438,1.7819440364837646
16,0.9249800443649292,0.16079813241958618,0.5027821660041809,1.9706666469573975
17,0.9208300113677979,0.15274976193904877,0.5027821660041809,2.052586317062378
18,0.9260973930358887,0.14173853397369385,0.5282194018363953,2.114253044128418
19,0.923383891582489,0.13987033069133759,0.5091415047645569,2.104722023010254
20,0.9259377717971802,0.13300256431102753,0.5139109492301941,2.1124930381774902
21,0.9297685623168945,0.12473497539758682,0.5206677317619324,2.223905563354492
22,0.9316839575767517,0.12006653845310211,0.5254371762275696,2.3963284492492676
23,0.9300878047943115,0.11734043061733246,0.5381557941436768,2.3553807735443115
24,0.9331204891204834,0.11564788222312927,0.5306041240692139,2.360959768295288
25,0.9328013062477112,0.1131058782339096,0.5218601226806641,2.351175308227539
26,0.9347167015075684,0.10912258177995682,0.5170906186103821,2.4263529777526855
27,0.929289698600769,0.11141415685415268,0.5274244546890259,2.714776039123535
28,0.9369513392448425,0.10512801259756088,0.5333863496780396,2.695582628250122
29,0.9337589740753174,0.10493957251310349,0.5270270109176636,2.5502493381500244
30,0.9369513392448425,0.09896158427000046,0.5234498977661133,2.744426965713501
